,FIPS,FOODINSEC_12_14,FOODINSEC_15_17,VLFOODSEC_12_14,VLFOODSEC_15_17
328,12017,13.8,11.9,5.5,4.2
329,12019,13.8,11.9,5.5,4.2
330,12021,13.8,11.9,5.5,4.2
331,12023,13.8,11.9,5.5,4.2
332,12027,13.8,11.9,5.5,4.2
333,12029,13.8,11.9,5.5,4.2
334,12031,13.8,11.9,5.5,4.2
335,12033,13.8,11.9,5.5,4.2
336,12035,13.8,11.9,5.5,4.2
337,12037,13.8,11.9,5.5,4.2
338,12039,13.8,11.9,5.5,4.2
339,12041,13.8,11.9,5.5,4.2
340,12043,13.8,11.9,5.5,4.2
341,12045,13.8,11.9,5.5,4.2
342,12047,13.8,11.9,5.5,4.2
343,12049,13.8,11.9,5.5,4.2
344,12051,13.8,11.9,5.5,4.2
345,12053,13.8,11.9,5.5,4.2
346,12055,13.8,11.9,5.5,4.2
347,12057,13.8,11.9,5.5,4.2
348,12059,13.8,11.9,5.5,4.2
349,12061,13.8,11.9,5.5,4.2
350,12063,13.8,11.9,5.5,4.2
351,12065,13.8,11.9,5.5,4.2
352,12067,13.8,11.9,5.5,4.2
353,12069,13.8,11.9,5.5,4.2
354,12071,13.8,11.9,5.5,4.2
355,12073,13.8,11.9,5.5,4.2
356,12075,13.8,11.9,5.5,4.2
357,12077,13.8,11.9,5.5,4.2
358,12079,13.8,11.9,5.5,4.2
359,12081,13.8,11.9,5.5,4.2
360,12083,13.8,11.9,5.5,4.2
361,12085,13.8,11.9,5.5,4.2
362,12086,13.8,11.9,5.5,4.2
363,12087,13.8,11.9,5.5,4.2
364,12089,13.8,11.9,5.5,4.2
365,12091,13.8,11.9,5.5,4.2
366,12093,13.8,11.9,5.5,4.2
367,12095,13.8,11.9,5.5,4.2
368,12097,13.8,11.9,5.5,4.2
369,12099,13.8,11.9,5.5,4.2
370,12101,13.8,11.9,5.5,4.2
371,12103,13.8,11.9,5.5,4.2
372,12105,13.8,11.9,5.5,4.2
373,12107,13.8,11.9,5.5,4.2
374,12109,13.8,11.9,5.5,4.2
375,12111,13.8,11.9,5.5,4.2
376,12113,13.8,11.9,5.5,4.2
377,12115,13.8,11.9,5.5,4.2
378,12117,13.8,11.9,5.5,4.2
379,12119,13.8,11.9,5.5,4.2
380,12121,13.8,11.9,5.5,4.2
381,12123,13.8,11.9,5.5,4.2
382,12125,13.8,11.9,5.5,4.2
383,12127,13.8,11.9,5.5,4.2
384,12129,13.8,11.9,5.5,4.2
385,12131,13.8,11.9,5.5,4.2
386,12133,13.8,11.9,5.5,4.2
387,13001,15.7,13.0,6.2,4.4
388,13003,15.7,13.0,6.2,4.4
389,13005,15.7,13.0,6.2,4.4
390,13007,15.7,13.0,6.2,4.4
391,13009,15.7,13.0,6.2,4.4
392,13011,15.7,13.0,6.2,4.4
393,13013,15.7,13.0,6.2,4.4
394,13015,15.7,13.0,6.2,4.4
395,13017,15.7,13.0,6.2,4.4
396,13019,15.7,13.0,6.2,4.4
397,13021,15.7,13.0,6.2,4.4
398,13023,15.7,13.0,6.2,4.4
399,13025,15.7,13.0,6.2,4.4
400,13027,15.7,13.0,6.2,4.4
