,FIPS,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS12,PCT_OBESE_ADULTS17,PCT_HSPA17,RECFACPTH11,RECFACPTH16
228,6085,7.4,8.4,25.0,25.1,27.5,0.110816336,0.135640604
229,6087,6.2,7.0,25.0,25.1,27.5,0.165973226,0.134449629
230,6089,7.1,9.4,25.0,25.1,27.5,0.078831048,0.095092127
231,6091,8.8,9.6,25.0,25.1,27.5,0.0,0.0
232,6093,8.0,8.6,25.0,25.1,27.5,0.067243466,0.11491347
233,6095,9.9,9.8,25.0,25.1,27.5,0.09120321,0.109012123
234,6097,6.6,7.9,25.0,25.1,27.5,0.118895827,0.13695014
235,6099,8.1,9.7,25.0,25.1,27.5,0.073354259,0.077583388
236,6101,7.9,8.6,25.0,25.1,27.5,0.084602369,0.083283017
237,6103,8.7,11.2,25.0,25.1,27.5,0.0157861,0.0157619
238,6105,9.6,10.1,25.0,25.1,27.5,0.219346348,0.0
239,6107,7.6,8.0,25.0,25.1,27.5,0.0335302,0.0303796
240,6109,6.8,10.1,25.0,25.1,27.5,0.109425153,0.092959265
241,6111,7.1,7.6,25.0,25.1,27.5,0.095067329,0.108095914
242,6113,6.7,6.9,25.0,25.1,27.5,0.084124266,0.083349154
243,6115,6.2,7.6,25.0,25.1,27.5,0.027582,0.0532021
244,8001,6.5,7.2,20.5,22.6,27.400000000000006,0.0509477,0.0623247
245,8003,5.6,6.7,20.5,22.6,27.400000000000006,0.18613886,0.182304327
246,8005,5.9,6.3,20.5,22.6,27.400000000000006,0.104281526,0.136588644
247,8007,5.4,5.9,20.5,22.6,27.400000000000006,0.083236224,0.155811779
248,8009,8.2,7.6,20.5,22.6,27.400000000000006,0.0,0.0
249,8011,5.6,7.0,20.5,22.6,27.400000000000006,0.0,0.0
250,8013,3.5,4.1,20.5,22.6,27.400000000000006,0.186344911,0.217951073
251,8014,4.5,5.5,20.5,22.6,27.400000000000006,0.121855688,0.16539115
252,8015,5.0,6.4,20.5,22.6,27.400000000000006,0.332981852,0.209621633
253,8017,6.1,6.5,20.5,22.6,27.400000000000006,0.0,0.0
254,8019,5.4,7.9,20.5,22.6,27.400000000000006,0.111086425,0.106826194
255,8021,6.2,6.0,20.5,22.6,27.400000000000006,0.0,0.0
256,8023,7.3,8.3,20.5,22.6,27.400000000000006,0.0,0.0
257,8025,4.7,6.0,20.5,22.6,27.400000000000006,0.0,0.0
258,8027,6.4,6.8,20.5,22.6,27.400000000000006,0.0,0.0
259,8029,6.7,7.6,20.5,22.6,27.400000000000006,0.0329251,0.0
260,8031,5.4,6.0,20.5,22.6,27.400000000000006,0.124322684,0.184231775
261,8033,5.7,7.5,20.5,22.6,27.400000000000006,0.0,0.0
262,8035,3.4,5.3,20.5,22.6,27.400000000000006,0.119711325,0.155619702
263,8037,3.0,3.3,20.5,22.6,27.400000000000006,0.173437139,0.183945258
264,8039,4.7,5.2,20.5,22.6,27.400000000000006,0.0,0.0
265,8041,5.5,7.0,20.5,22.6,27.400000000000006,0.087967879,0.091742318
266,8043,7.0,8.1,20.5,22.6,27.400000000000006,0.105674733,0.063957703
267,8045,4.6,4.7,20.5,22.6,27.400000000000006,0.089343149,0.067904797
268,8047,4.9,6.3,20.5,22.6,27.400000000000006,0.0,0.0
269,8049,4.7,5.6,20.5,22.6,27.400000000000006,0.137513751,0.198294666
270,8051,3.6,4.6,20.5,22.6,27.400000000000006,0.259000259,0.121278273
271,8053,6.4,6.6,20.5,22.6,27.400000000000006,0.0,0.0
272,8055,6.5,7.6,20.5,22.6,27.400000000000006,0.0,0.151929505
273,8057,6.7,6.6,20.5,22.6,27.400000000000006,0.0,0.0
274,8059,5.4,5.4,20.5,22.6,27.400000000000006,0.116574055,0.159414476
275,8061,7.3,7.7,20.5,22.6,27.400000000000006,0.0,0.0
276,8063,6.3,7.3,20.5,22.6,27.400000000000006,0.245218244,0.0
277,8065,4.5,5.4,20.5,22.6,27.400000000000006,0.0,0.131475151
278,8067,4.0,4.8,20.5,22.6,27.400000000000006,0.135213444,0.126774848
279,8069,4.6,5.2,20.5,22.6,27.400000000000006,0.140971127,0.162466657
280,8071,6.3,7.7,20.5,22.6,27.400000000000006,0.199560966,0.070987435
281,8073,6.2,7.6,20.5,22.6,27.400000000000006,0.0,0.0
282,8075,5.9,7.0,20.5,22.6,27.400000000000006,0.0452817,0.04561
283,8077,5.6,7.2,20.5,22.6,27.400000000000006,0.081479671,0.066758348
284,8079,6.2,6.8,20.5,22.6,27.400000000000006,0.0,0.0
