,FIPS,County,State,2010_Census_Population,Population_Estimate_2011,Population_Estimate_2012,Population_Estimate_2013,Population_Estimate_2014,Population_Estimate_2015,Population_Estimate_2016,Population_Estimate_2017,Population_Estimate_2018
209,6047,Merced County, California,255793,259333,260971,262198,264649,266651,267971,271340,274765
210,6049,Modoc County, California,9686,9512,9355,9149,9080,9048,8935,8848,8777
211,6051,Mono County, California,14202,14423,14334,14074,14142,14043,14202,14235,14250
212,6053,Monterey County, California,415057,420542,425000,427054,428980,431241,434767,435477,435594
213,6055,Napa County, California,136484,137750,138625,139706,140567,141096,141185,140386,139417
214,6057,Nevada County, California,98764,98697,98140,97952,98589,98709,98964,99503,99696
215,6059,Orange County, California,3010232,3050867,3080419,3108009,3130322,3153962,3170707,3179950,3185968
216,6061,Placer County, California,348432,356312,360277,365445,369326,373058,379288,385565,393149
217,6063,Plumas County, California,20007,19715,19374,18895,18662,18516,18772,18740,18804
218,6065,Riverside County, California,2189641,2234301,2261967,2288043,2317955,2347921,2382570,2417224,2450758
219,6067,Sacramento County, California,1418788,1433739,1445078,1457750,1475618,1494294,1511510,1527718,1540975
220,6069,San Benito County, California,55269,55982,56614,57267,57867,58243,59235,60199,61537
221,6071,San Bernardino County, California,2035210,2061040,2074195,2083871,2100776,2117311,2134174,2153203,2171603
222,6073,San Diego County, California,3095313,3137372,3175201,3211248,3250993,3284061,3310280,3325468,3343364
223,6075,San Francisco County, California,805235,815677,829027,839841,851116,863836,872795,879166,883305
224,6077,San Joaquin County, California,685306,694388,699782,702387,711771,721929,732185,742516,752660
225,6079,San Luis Obispo County, California,269637,271050,274184,275751,278296,280171,281958,282838,284010
226,6081,San Mateo County, California,718451,728404,739427,749013,757670,765447,768204,768808,769545
227,6083,Santa Barbara County, California,423895,425481,429825,434823,439358,442522,444675,445606,446527
228,6085,Santa Clara County, California,1781642,1812166,1838370,1867302,1892984,1917481,1929581,1933383,1937570
229,6087,Santa Cruz County, California,262382,264882,266416,268940,271035,273730,274702,275105,274255
230,6089,Shasta County, California,177223,177572,177868,178401,178905,178361,178581,179539,180040
231,6091,Sierra County, California,3240,3099,3067,3029,2980,2996,2957,3009,2987
232,6093,Siskiyou County, California,44900,44610,44073,43532,43379,43336,43479,43784,43724
233,6095,Solano County, California,413344,416305,419699,423749,429155,433708,439300,443877,446610
234,6097,Sonoma County, California,483878,487423,490071,494243,498803,501346,503249,503246,499942
235,6099,Stanislaus County, California,514453,517614,520594,523722,528346,533534,539542,545267,549815
236,6101,Sutter County, California,94737,94485,94210,94545,94830,95388,95898,96438,96807
237,6103,Tehama County, California,63463,63336,63227,62898,62788,63090,63352,63718,63916
238,6105,Trinity County, California,13786,13681,13486,13427,13123,13094,12830,12726,12535
239,6107,Tulare County, California,442179,446864,449975,452769,455602,457803,460023,463097,465861
240,6109,Tuolumne County, California,55365,54825,54218,54000,53828,53550,53704,54039,54539
241,6111,Ventura County, California,823318,830196,833801,838601,842946,846922,848921,850802,850967
242,6113,Yolo County, California,200849,201959,204623,206368,208518,212053,215530,218376,220408
243,6115,Yuba County, California,72155,72492,72792,73114,73562,74083,75002,76775,78041
244,8001,Adams County, Colorado,441603,452203,460648,470145,480263,490768,498249,504428,511868
245,8003,Alamosa County, Colorado,15445,16122,16095,16203,16220,16314,16461,16543,16683
246,8005,Arapahoe County, Colorado,572003,585844,596343,608209,618798,630637,638571,644132,651215
247,8007,Archuleta County, Colorado,12084,12022,12133,12218,12233,12393,12832,13317,13765
248,8009,Baca County, Colorado,3788,3777,3722,3656,3587,3553,3528,3563,3585
249,8011,Bent County, Colorado,6499,6339,5827,5746,5784,5879,5645,5857,5882
250,8013,Boulder County, Colorado,294567,300897,305565,310247,313298,319175,322527,324073,326078
251,8014,Broomfield County, Colorado,55889,57482,58963,60149,61769,64856,66474,68232,69267
252,8015,Chaffee County, Colorado,17809,18030,18153,18358,18453,18600,19089,19651,20027
253,8017,Cheyenne County, Colorado,1836,1862,1872,1878,1846,1827,1849,1860,1876
254,8019,Clear Creek County, Colorado,9088,9001,9008,9013,9114,9237,9356,9582,9605
255,8021,Conejos County, Colorado,8256,8289,8249,8200,8233,8069,8057,8153,8200
256,8023,Costilla County, Colorado,3524,3642,3605,3543,3564,3577,3696,3772,3828
257,8025,Crowley County, Colorado,5823,5882,5460,5346,5609,5622,5261,5798,5858
258,8027,Custer County, Colorado,4255,4228,4222,4265,4344,4438,4593,4873,4954
259,8029,Delta County, Colorado,30952,30390,30466,30339,29965,29919,30356,30537,30953
260,8031,Denver County, Colorado,600158,620513,635277,649513,664870,683665,696618,705439,716492
261,8033,Dolores County, Colorado,2064,2044,2009,2033,1977,1981,2056,2053,2074
262,8035,Douglas County, Colorado,285465,292513,298698,306232,314574,321964,328088,335668,342776
263,8037,Eagle County, Colorado,52197,52072,52366,52857,53323,53896,54579,54992,54993
264,8039,Elbert County, Colorado,23086,23176,23273,23541,24033,24621,25138,25735,26282
