"fips","redemp_snaps","pct_snap","pc_snapben","snap_part_rate","pc_wic_redemp","redemp_wics","pct_wic","pct_wicinfantchild","food_banks","foodinsec__","vlfoodsec__","fmrktpth","pct_diabetes_adults","pct_obese_adults","pct_hspa","recfacpth","medhhinc","povrate","perpov","childpovrate","perchldpov","metro","census_population","population_estimate","pct_laccess_pop","pct_laccess_lowi","pct_laccess_hhnv","pct_laccess_snap","grocpth","supercpth","convspth","snapspth","wicspth","ffrpth","fsrpth","pc_ffrsales","pc_fsrsales"
"4019.0","402466.6807114796","15.134669652373436","19.509089469909668","75.75450000000001","12.676419258117676","137977.86328125","2.5701793013568803","29.064667929106037","1.0","18.65","7.3","0.02207573596388095","8.3","27.75","24.5","0.108432631","47107.0","18.7","0.0","27.7","0.0","1.0","980263.0","1009708.75","22.988213639053498","7.471091299306038","1.267043458231561","2.693202870934776","0.1184856035","0.0144721","0.29471902949999995","0.5906126866118533","0.09217611327767364","0.6383134155","0.6230050604999999","669.109635044187","691.1081932875807"
"4021.0","435398.7338281743","15.134669652373436","16.551443576812744","75.75450000000001","13.70906114578247","169681.109375","2.5701793013568803","29.064667929106037","0.0","18.65","7.3","0.00371120742056515","10.350000000000001","27.75","24.5","0.02755595","50888.0","15.8","0.0","21.6","0.0","1.0","375770.0","405730.875","19.42039331306612","5.987141736787091","2.590802525889199","2.356362883061645","0.07831984","0.01636315","0.197797407","0.39334071894210576","0.08070114254951474","0.338778775","0.2785262175","669.109635044187","691.1081932875807"
"4023.0","646453.0667056406","15.134669652373436","29.858043670654297","75.75450000000001","36.124067306518555","384345.71875","2.5701793013568803","29.064667929106037","0.0","18.65","7.3","0.1069524027407169","7.15","27.75","24.5","0.03220465","34893.0","24.4","0.0","36.7","1.0","0.0","47420.0","46873.875","27.030506660690953","11.794489122943896","1.6591653907708266","4.922791844462713","0.1820249675","0.02135275","0.341644232","0.5740650767306728","0.09546886011958115","0.5544699184999999","0.8537596015","669.109635044187","691.1081932875807"
"4025.0","256813.9933831665","15.134669652373436","14.104639053344727","75.75450000000001","10.991626739501951","106693.16015625","2.5701793013568803","29.064667929106037","1.0","18.65","7.3","0.0382281597703695","9.25","27.75","24.5","0.1032753965","47220.0","15.1","0.0","23.4","0.0","1.0","211033.0","220081.125","32.896386608032486","12.343926022331482","2.296865044744024","4.496993451700218","0.140498867","0.0252261","0.377302633","0.6377473233595707","0.10347434878349299","0.6251066045","0.9676992015","669.109635044187","691.1081932875807"
"4027.0","567156.7901589659","15.134669652373436","23.59092140197754","75.75450000000001","28.92561912536621","228385.328125","2.5701793013568803","29.064667929106037","1.0","18.65","7.3","0.0024680511560291","11.3","27.75","24.5","0.04894755","40426.0","21.1","0.0","30.8","1.0","1.0","195751.0","205900.5","21.335544478881715","10.063350574430604","1.6645370837973381","3.109292711894221","0.1568882755","0.026941899999999998","0.3161062175","0.5334610859211955","0.12672090530395505","0.5437399125","0.3871632205","669.109635044187","691.1081932875807"
"5001.0","281360.46003304777","14.976356781485874","21.571568489074707","72.0735","28.5996150970459","118447.47265625","2.872103299278622","31.378898623066267","0.0","14.25","5.95","0.10959974303841591","12.75","34.75","21.40000000000001","0.0539484","41179.0","20.7","0.0","30.5","1.0","0.0","19019.0","18400.875","29.920913459640857","12.87220142705726","3.743488397132417","6.238788251083048","0.161845181","0.0539484","0.811128731","1.0029337521075319","0.24269458651542664","0.671024969","0.6748306260000001","599.4428659080645","458.5246749169709"
"5003.0","265475.51992568444","14.976356781485874","22.949556350708008","72.0735","23.437803268432617","99834.30078125","2.872103299278622","31.378898623066267","0.0","14.25","5.95","0.07338371500372881","12.9","34.75","21.40000000000001","0.0487852475","39871.0","19.6","0.0","31.2","1.0","0.0","21853.0","20894.0","20.53600095614154","11.65039128232595","3.672581735586281","3.7458331390515","0.210276504","0.0474628","0.802900321","0.9881207824967718","0.23587600141763684","0.735012227","0.37837998100000003","599.4428659080645","458.5246749169709"
"5005.0","242598.16683067597","14.976356781485874","14.420292854309082","72.0735","15.569399356842041","118390.36328125","2.872103299278622","31.378898623066267","1.0","14.25","5.95","0.08484075963497159","13.9","34.75","21.40000000000001","0.084834558","36902.0","16.4","0.0","28.5","0.0","0.0","41513.0","41188.375","11.560058453749079","4.918273238832727","2.7194588868254828","1.5924665535661884","0.181878875","0.024246700000000003","0.4605139965","0.7521540306839145","0.1333873830735683","0.727457885","0.8606129525","599.4428659080645","458.5246749169709"
"5007.0","213015.29225199664","14.976356781485874","8.280932903289795","72.0735","13.842744827270508","137855.59765625","2.872103299278622","31.378898623066267","1.0","14.25","5.95","0.0271999649703502","8.7","34.75","21.40000000000001","0.09907876800000001","60294.0","10.8","0.0","15.3","0.0","1.0","221339.0","249811.125","17.651203713105417","5.820445871621991","1.7038093703479662","1.2656666721199337","0.13050683200000002","0.0288244","0.3313541165","0.5400357659579467","0.10200791433453554","0.6362352055","0.6281659585","599.4428659080645","458.5246749169709"
"5009.0","272056.9565549896","14.976356781485874","16.652235984802246","72.0735","21.44385528564453","180660.828125","2.872103299278622","31.378898623066267","0.0","14.25","5.95","0.0802228897809982","11.25","34.75","21.40000000000001","0.01349055","40909.0","16.5","0.0","25.1","0.0","0.0","36903.0","37267.375","26.402445072806167","10.55747643095109","2.8901239593394976","3.873442032554141","0.16156150549999998","0.02693465","0.538646689","0.8868532697998528","0.1210480667650699","0.646431743","0.686671221","599.4428659080645","458.5246749169709"
"5015.0","187865.59409706085","14.976356781485874","12.667638778686523","72.0735","18.255937576293945","100767.21875","2.872103299278622","31.378898623066267","0.0","14.25","5.95","0.1071205101907253","11.95","34.75","21.40000000000001","0.036432527","37587.0","16.6","0.0","27.7","1.0","0.0","27446.0","27788.5","7.837884897202051","3.933877560340359","2.4845768765822562","1.0106918647209164","0.19945915050000002","0.036248550000000004","0.5615770250000001","0.7745366684110706","0.1811152324080467","0.5437286605","1.8124288695","599.4428659080645","458.5246749169709"
"5017.0","161655.21301047484","14.976356781485874","31.533308029174805","72.0735","37.79764175415039","121760.95703125","2.872103299278622","31.378898623066267","0.0","14.25","5.95","0.0919159837067127","14.95","34.75","21.40000000000001","0.0","29968.0","31.4","1.0","43.2","1.0","0.0","11800.0","11087.0","32.70081412948457","18.16993518245222","8.35837852592958","17.05570125179382","0.3970875875","0.0","0.8399962894999999","1.2791534364174635","0.26269225031137466","0.48566932799999996","0.39096661050000003","599.4428659080645","458.5246749169709"
