FIPS,FFRPTH11,FFRPTH16,PCH_FFRPTH_11_16
5121,0.556483027,0.574448529,3.228400735
5123,0.42887777,0.494221411,15.23595904
5125,0.520505164,0.595354534,14.38013969
5127,0.178015131,0.482625483,171.1148649
5129,0.495662949,0.502197112,1.31826742
5131,0.701195972,0.807418847,15.14881407
5133,0.349344978,0.412857564,18.18047774
5135,0.521165094,0.525148792,0.764383242
5137,0.720172841,0.8,11.08444444
5139,0.579892237,0.702335265,21.11479001
5141,0.29073148,0.360967393,24.15834436
5143,0.770215757,0.755711775,-1.883106327
5145,0.640984552,0.723001598,12.79547934
5147,0.418060201,0.754944889,80.58281745
5149,0.50173326,0.418877409,-16.5139245
6001,0.711388415,0.782102495,9.940291191
6003,1.829826167,0.0,-100.0
6005,0.319667546,0.560403491,75.30822192
6007,0.668172707,0.697494758,4.388394007
6009,0.575692492,0.66203244,14.99758104
6011,0.748853318,0.36960037,-50.64449064
6013,0.561817776,0.615644033,9.580732293
6015,0.527296376,0.364298725,-30.91196114
6017,0.535985633,0.590534272,10.17725769
6019,0.605087413,0.647246548,6.967445296
6021,0.426136364,0.536346408,25.86262381
6023,0.702460089,0.710888317,1.199815933
6025,0.459817095,0.56912366,23.77174887
6027,0.706483343,0.831762227,17.73274413
6029,0.622078851,0.681289728,9.518226965
6031,0.591988423,0.594137399,0.363009792
6033,0.466758981,0.516028147,10.55559031
6035,0.379628548,0.484746639,27.68972238
6037,0.729415482,0.814142434,11.6157326
6039,0.493823909,0.503336216,1.926254791
6041,0.669262832,0.722664913,7.97923893
6043,0.495212942,0.456516777,-7.8140455
6045,0.595190404,0.61637503,3.55930239
6047,0.489200985,0.531839719,8.715995247
6049,0.735680504,0.335532938,-54.39148705
6051,1.256193733,1.489256081,18.5530577
6053,0.58409828,0.605000882,3.578610402
6055,0.551104021,0.578895721,5.042913711
6057,0.536904593,0.65621435,22.22177988
6059,0.843304246,0.951945478,12.8828038
6061,0.768702044,0.879544533,14.41943468
6063,0.659362954,0.479054665,-27.34583243
6065,0.595288677,0.64570953,8.469983622
6067,0.653186533,0.710386847,8.75711785
6069,0.464003998,0.471896857,1.701032598
6071,0.652643716,0.714041395,9.407533859
6073,0.747826192,0.824791993,10.29193706
6075,0.92246176,1.093478735,18.53919394
6077,0.57691948,0.634623189,10.00203857
6079,0.807671031,0.828958276,2.635633093
6081,0.687222059,0.770569195,12.12812284
6083,0.671270109,0.770788893,14.82544559
6085,0.71010667,0.799347683,12.56726855
6087,0.645032308,0.635910406,-1.414177617
6089,0.748894958,0.682425856,-8.875624124
6091,0.322580645,0.337381916,4.588394062
6093,0.650020173,0.643515433,-1.000698198
6095,0.64802281,0.65861491,1.634525754
6097,0.559630357,0.577572331,3.206040079
6099,0.631232699,0.676083812,7.105321585
6101,0.539340102,0.614212247,13.88217658
6103,0.536726285,0.520143749,-3.089570422
6105,0.877385392,0.467326116,-46.73650596
6107,0.48059943,0.572873154,19.19971558
6109,0.565363292,0.483388179,-14.4995463
6111,0.665471305,0.744921842,11.9389876
6113,0.682891104,0.703837302,3.06728243
6115,0.427521342,0.385715236,-9.778717872
8001,0.591436793,0.675519456,14.21667788
8003,0.806601725,0.972289742,20.5414906
8005,0.765870879,0.794412111,3.726637651
8007,0.665889795,0.701153007,5.295652851
8009,0.264690312,0.0,-100.0
8011,0.158027813,0.176025348,11.38883999
8013,0.848534863,0.853122772,0.54068594
8014,1.166333014,1.112631373,-4.604314577
8015,1.220933459,1.100513573,-9.862936037
8017,0.539665407,0.0,-100.0
8019,1.110864252,1.281914325,15.39792757
8021,0.120787535,0.247770069,105.1288404
8023,0.0,0.0,0.0
8025,0.0,0.0,0.0
8027,0.709555345,0.434688111,-38.73795552
8029,0.395100751,0.527252356,33.44757134
8031,0.871873365,0.909644389,4.332168611
8033,0.0,0.0,0.0
8035,0.666963095,0.665197942,-0.264655206
8037,0.828644107,0.882937238,6.55204453
8039,0.258977901,0.199672537,-22.8997777
8041,0.669184224,0.645108678,-3.597745509
8043,0.380429039,0.362426982,-4.732040914
8045,0.714745193,0.865786168,21.13214274
8047,0.0,0.0,0.0
8049,1.100110011,1.321964439,20.16656752
8051,0.647500648,0.788308774,21.74640713
8053,0.0,0.0,0.0
8055,0.306795521,0.607718019,98.08568824
8057,0.0,0.0,0.0
8059,0.697593949,0.762036231,9.237792631
8061,0.0,0.741839763,
8063,0.735654733,0.786575773,6.921866807
8065,0.681663258,0.657375756,-3.562976597
8067,0.67606722,0.869313243,28.58384733
8069,0.803207585,0.80051753,-0.334914012
8071,0.798243864,0.780861787,-2.177539575
8073,0.369208049,0.539374326,46.08953614
8075,0.498098171,0.501710376,0.725199544
8077,0.699367175,0.607500968,-13.13561887
8079,1.406469761,0.0,-100.0
8081,0.298240382,0.379910341,27.38393739
8083,0.471272042,0.500481232,6.197946744
8085,0.464263897,0.534499514,15.12838218
8087,0.352162276,0.427609308,21.42393899
8089,0.636267232,0.712758375,12.02185792
8091,1.812825742,0.836120401,-53.87750836
8093,0.311662407,0.288184438,-7.53314121
8095,0.457247371,0.467180565,2.172389629
8097,1.458066021,1.22946239,-15.67855147
8099,0.798977309,0.917507715,14.83526566
8101,0.693009346,0.643071211,-7.205982934
8103,0.590754689,0.771247879,30.55298473
8105,0.33599328,0.440994884,31.25110249
8107,0.946399381,1.05352729,11.31952451
8109,0.0,0.0,0.0
8111,5.797101449,5.805515239,0.145137881
8113,2.276074441,1.632345555,-28.28241794
8115,0.422654269,0.415800416,-1.621621622
8117,1.57210233,1.54951866,-1.43652668
8119,0.556435389,0.665557404,19.6109049
8121,0.419903422,0.412711515,-1.712752786
8123,0.495110781,0.543768246,9.827591481
8125,0.297088532,0.197667523,-33.46511168
9001,0.616528118,0.762754809,23.71776511
9003,0.598143416,0.667785598,11.64305753
9005,0.391377012,0.562543351,43.73438743
9007,0.529275554,0.642465108,21.38575135
9009,0.662638411,0.784908363,18.45198683
9011,0.618535571,0.750073336,21.26599847
9013,0.352795908,0.42343445,20.02249496
9015,0.498327646,0.551524448,10.67506534
10001,0.514686737,0.52645433,2.286360188
10003,0.6970543,0.736755872,5.695621118
10005,0.783225993,0.736052487,-6.022975059
11001,1.242874829,1.281534217,3.110481207
12001,0.788529892,0.745249507,-5.488743706
12003,0.44375416,0.537345513,21.09081139
12005,0.713775874,0.830637405,16.37230043
12007,0.457231289,0.523795271,14.55805494
12009,0.620822535,0.648902317,4.522996591
12011,0.682444561,0.707831844,3.720050543
12013,0.543699878,0.487431237,-10.34920967
12015,0.475353544,0.432203057,-9.077556667
12017,0.372053089,0.405622771,9.022820316
12019,0.644859327,0.550086856,-14.69661169
12021,0.518819411,0.524454035,1.086047257
12023,0.549703606,0.606288073,10.29363226
12027,0.287405875,0.306193459,6.536951983
12029,0.243857831,0.424834618,74.21405596
12031,0.853961176,0.84306656,-1.275774172
12033,0.581228329,0.603122764,3.766924985
12035,0.38980356,0.454524373,16.60344335
12037,0.523149359,0.339011781,-35.19789813
12039,0.401224791,0.454988625,13.39992816
12041,0.117695522,0.406740267,245.5868681
12043,0.233772306,0.222882615,-4.658246657
12045,0.634517766,0.49689441,-21.68944099
12047,0.411212391,0.48869031,18.84133855
12049,0.325414904,0.292280151,-10.18230974
12051,0.539277368,0.529767911,-1.763370333
12053,0.387650721,0.471928486,21.74064458
12055,0.507866858,0.433249966,-14.69221529
12057,0.623800875,0.619559404,-0.679939904
12059,0.201623066,0.206111197,2.226000928
12061,0.618322477,0.614339882,-0.64409673
12063,0.609954457,0.579806179,-4.942709628
12065,0.482126868,0.430632312,-10.68070665
12067,0.227272727,0.231107003,1.687081119
12069,0.405975156,0.453148338,11.61972136
12071,0.495977511,0.55362862,11.62373446
12073,0.815522959,0.884789288,8.493486108
12075,0.448274145,0.426589044,-4.837463998
12077,0.0,0.0,0.0
12079,0.365993935,0.600895881,64.18192318
12081,0.491538516,0.484605779,-1.410415829
12083,0.436343502,0.488310703,11.90969996
12085,0.669479834,0.675147018,0.846505488
12086,0.609753252,0.617567493,1.28154148
12087,0.82453603,0.866708062,5.114637887
12089,0.633884498,0.750731964,18.43355783
12091,0.83570024,0.860365655,2.951466792
12093,0.426556933,0.344005701,-19.35292239
