FIPS,LACCESS_POP10,LACCESS_POP15,LACCESS_LOWI10,LACCESS_LOWI15,LACCESS_HHNV10,LACCESS_HHNV15
20163,750.2111378,750.2111378,288.8355375,244.1266358,13.90705019,12.93064503
20165,3306.999993,699.4612675,1283.80585,210.0789335,59.47398927,47.39116489
20167,1732.618368,1732.618368,651.8029135,639.1018267,92.61258907,77.43532937
20169,11416.51696,10421.37428,2833.316827,3281.992577,197.9571593,269.2445349
20171,448.2388278,569.7966271,53.3836796,196.0070223,0.249055351,3.781008102
20173,145050.5951,135646.4838,46906.28485,52735.5135,3071.429361,3614.487632
20175,9958.953041,1229.812044,5107.341453,428.5648764,178.7020339,18.26034758
20177,47825.40617,43336.69585,17257.87995,16892.34203,1376.265422,1474.939072
20179,2521.236889,820.1420596,933.9303907,248.983174,38.43204174,10.0956696
20181,4302.23129,4302.23129,1666.052597,1646.112776,152.3780936,159.8179199
20183,1493.985613,1439.873526,481.6098466,472.023397,28.41916386,24.79097006
20185,1354.190489,1354.190489,455.0546948,426.1719332,56.11778903,50.73555271
20187,235.6184707,235.6184707,90.93042959,93.059396,3.330739101,0.171020085
20189,1043.911654,945.853677,424.9032598,312.4532661,0.669309327,1.067496775
20191,5940.240596,7002.477669,1898.11655,2415.3971,241.4962747,230.4969848
20193,3715.435505,3715.435505,1175.826229,883.4885902,131.9400443,84.56109239
20195,538.9047239,214.8515795,229.0540028,74.64246891,3.117162607,13.46775562
20197,4694.68922,2946.919378,1356.173854,1022.341954,89.22596886,50.13282487
20199,486.7327351,1485.000005,181.7995115,458.7452795,3.536570645,29.26502218
20201,2725.835144,2909.229433,1013.642617,970.3453205,75.27367813,40.33595861
20203,2233.999998,2233.999998,685.4722892,830.9052519,13.29801893,32.14175335
20205,1019.741827,1146.578209,437.5513608,508.894173,81.68804803,130.2292707
20207,67.44429895,613.5003846,31.21323723,288.4528127,54.82325635,54.69060562
20209,48750.41908,41854.21107,21359.30282,21636.09636,1679.970425,1731.747548
21001,1601.293408,1727.437833,829.0779184,981.9643154,306.9779494,341.1022854
21003,246.2374709,194.2728502,103.0028813,98.57042524,319.9083805,369.7572184
21005,5585.740969,4575.036331,1240.960417,1280.094715,137.4929036,117.3677565
21007,498.5704928,416.4808678,210.3569724,137.5330679,214.4366098,107.2628104
21009,3265.862951,3041.104226,1295.84184,1557.432436,455.1122156,449.6394893
21011,15.52776955,13.90552064,8.075243796,7.156753205,195.9114835,273.4412655
21013,5966.516063,4990.4231,3613.786804,3401.819999,1101.344846,1414.239137
21015,40237.60628,41574.27109,5504.492406,7339.181968,496.8157157,383.0971391
21017,1505.057792,3142.294819,522.6786046,1542.065042,176.2873076,317.7973922
21019,13021.58655,10683.9845,5425.900158,4690.263282,492.1788181,384.9598305
21021,6698.463734,7764.648736,2878.714526,3545.890976,313.8149952,453.5510908
21023,47.87093155,47.87093155,18.50113815,18.82399063,186.9416233,209.2157146
21025,926.1818855,2068.213775,477.7624153,1239.294745,538.7251605,668.464325
21027,1961.618828,1809.962047,839.347388,806.5255839,368.1720248,417.5150153
21029,18937.81341,24247.12978,5320.416929,6737.82825,522.9145949,534.744147
21031,1488.438826,1031.114364,636.0771091,544.2360171,217.8219509,256.2343097
21033,1496.802036,1429.123304,659.9450811,557.4185856,113.5252636,179.6402486
21035,5753.843618,5493.246399,1956.891793,1776.129597,398.9558179,439.1975846
21037,27899.75167,27457.74642,5695.106649,6933.967788,556.1781168,957.0068854
21039,344.3003983,115.470763,107.9324859,35.00789818,92.99865472,92.5356453
21041,4090.099033,4090.099033,1842.40209,1907.313354,332.7783739,305.2475967
21043,1216.261813,1528.804702,471.5125461,705.0700387,498.0137554,461.2495908
21045,967.8695221,703.5012842,577.8868824,407.8737363,363.2585121,367.4465305
21047,15170.96497,18938.23523,6347.755271,8521.611985,690.3307101,765.7918163
21049,3749.348502,3670.511611,973.229067,841.0074031,172.1015612,227.4367857
21051,2898.126738,1989.596233,1575.304863,1001.503295,693.3537478,774.9083818
21053,164.1310865,10.6970473,105.1090861,4.681431867,260.8259305,156.4898924
21055,0.0,269.6606091,0.0,145.5536123,242.1326617,227.3603185
21057,136.0079747,110.5837756,86.57621126,67.28354333,134.6690711,148.5117249
21059,17360.73762,15930.51134,4223.573111,4594.24157,482.2991546,373.9095869
21061,262.4330838,306.7849306,97.18448499,143.9391101,180.8667006,234.8128092
21063,15.67382,4.531888127,10.47445306,2.02434513,304.8753078,266.2604113
21065,1819.782604,1341.490803,919.2076952,789.2543283,640.1551787,350.8011443
21067,45675.38907,46941.73446,17378.58873,20001.09085,1898.222379,2481.904874
21069,846.4358179,838.4817284,434.5176554,407.8665325,441.2054775,382.8641373
21071,1681.16468,1950.825795,952.7467125,1045.744081,1298.47107,1418.168442
21073,11399.34265,7305.109511,3934.296118,2750.110758,295.1258917,262.1842942
21075,3.124261004,7.188970763,1.534227973,3.567209815,84.78135398,76.73644199
21077,0.0,,0.0,,139.4665756,73.78831388
21079,3837.395821,122.1931545,2029.616798,41.30062053,326.8947944,192.8945664
21081,4341.005187,4503.751433,2061.949976,1922.239356,268.2859338,245.0962501
21083,4577.58103,3573.328986,1659.593932,1354.522631,433.354053,540.071837
21085,5882.731485,5837.208624,2830.85049,3021.464529,554.0810892,411.6442064
21087,730.3113204,1254.539108,426.145667,657.5868795,222.2065728,275.8098039
21089,8861.498772,8653.322325,2974.899424,3148.223854,499.4509356,459.0508834
21091,30.29283774,271.3490783,12.06579126,121.0334017,110.5403993,95.2478151
21093,24451.14249,28939.40978,8705.464777,10447.34725,774.6598123,903.0431035
21095,5086.445349,5719.80983,2904.499734,3384.967095,847.4663892,1082.53248
21097,1478.587652,948.8313517,660.3770726,332.8997668,160.5333987,88.7546703
21099,1719.494306,1704.046332,784.7438952,706.1672638,457.8213685,550.6511159
21101,4507.60493,4483.639737,1422.172572,1667.330536,363.5750119,333.4296532
21103,1281.53553,320.9595504,424.1569935,81.54464463,265.2651962,180.7700662
21105,159.0037642,0.0,61.01307207,0.0,176.131179,98.78241561
21107,7808.637597,10899.98976,2819.316307,4161.769088,536.059141,649.060221
21109,25.6071464,23.84814251,18.6946514,13.06103953,443.0157982,315.2174755
21111,131566.3164,119488.4849,33848.18372,32352.1931,3230.690539,2758.479069
21113,4338.130917,7707.394655,1110.79915,2266.905932,190.5825936,345.0786359
21115,2320.528457,3913.695103,1089.088881,1830.328239,559.564814,775.6859617
21117,52174.62871,49639.87532,10402.48356,10228.54169,886.3110568,804.0696136
21119,49.16382926,138.5769734,26.65240429,66.11221503,684.5222784,587.189421
21121,1695.307674,2739.431842,1086.969589,1819.168336,1042.183423,928.1858654
21123,211.0982254,191.1526757,89.25193481,73.43401682,80.72570494,146.2953813
21125,6536.972852,5505.683645,2879.784967,2619.167859,1065.715926,1165.985718
21127,1774.941528,2504.387303,1022.657549,1428.346637,254.2484368,416.4541469
21129,1.287777897,1.825991314,0.504143824,1.105160327,246.4831845,249.9500348
21131,423.4308004,350.8281017,212.3807423,191.8956718,458.0229509,358.2905915
21133,0.0,,0.0,,1049.829903,1050.243089
21135,154.0618496,160.6075342,112.9975935,119.3281986,384.862792,375.6288054
21137,1924.413359,4359.72628,1024.9972,2828.735358,522.8286153,546.0371678
21139,134.7221561,1424.891706,73.66913874,617.100775,89.02868302,217.7725968
21141,754.1605711,4080.238951,321.8999806,1866.976511,407.1663343,497.6742748
21143,138.4104251,260.1592697,24.8133667,85.67219615,120.7798291,46.19853994
21145,14443.11438,15861.01865,4987.418228,5793.275753,690.6899362,706.3459293
21147,866.4058879,359.6566985,634.7057878,273.152137,521.367948,661.060666
21149,2.874075834,49.8843908,1.272837396,20.38753385,111.2705506,142.4293795
21151,7958.205758,18254.73124,2987.113836,8979.947829,630.1020474,1098.025784
21153,106.7151347,231.7288413,63.70489845,120.0815897,444.1970211,497.5268032
