FIPS,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS12,PCT_OBESE_ADULTS17
17153,11.0,12.1,28.1,31.1
17155,9.2,10.5,28.1,31.1
17157,8.2,10.1,28.1,31.1
17159,9.9,11.0,28.1,31.1
17161,9.0,10.8,28.1,31.1
17163,9.4,12.7,28.1,31.1
17165,9.8,12.0,28.1,31.1
17167,9.6,10.7,28.1,31.1
17169,9.1,10.6,28.1,31.1
17171,9.4,9.9,28.1,31.1
17173,9.1,10.1,28.1,31.1
17175,9.5,12.2,28.1,31.1
17177,9.2,12.5,28.1,31.1
17179,8.6,9.6,28.1,31.1
17181,8.9,11.9,28.1,31.1
17183,9.7,12.7,28.1,31.1
17185,8.9,12.6,28.1,31.1
17187,9.2,10.5,28.1,31.1
17189,8.9,10.5,28.1,31.1
17191,8.8,10.3,28.1,31.1
17193,9.5,10.6,28.1,31.1
17195,8.9,10.5,28.1,31.1
17197,7.9,8.5,28.1,31.1
17199,8.7,10.5,28.1,31.1
17201,9.2,11.7,28.1,31.1
17203,8.4,9.6,28.1,31.1
18001,9.7,13.9,31.4,33.6
18003,10.0,10.3,31.4,33.6
18005,10.2,10.5,31.4,33.6
18007,10.8,12.1,31.4,33.6
18009,11.3,13.7,31.4,33.6
18011,10.0,10.4,31.4,33.6
18013,10.6,12.6,31.4,33.6
18015,10.9,13.4,31.4,33.6
18017,10.2,9.8,31.4,33.6
18019,9.8,12.4,31.4,33.6
18021,9.4,11.9,31.4,33.6
18023,11.8,12.5,31.4,33.6
18025,10.3,13.0,31.4,33.6
18027,10.1,12.9,31.4,33.6
18029,9.5,13.1,31.4,33.6
18031,9.6,14.7,31.4,33.6
18033,9.5,10.0,31.4,33.6
18035,10.4,12.5,31.4,33.6
18037,9.5,10.3,31.4,33.6
18039,9.7,10.2,31.4,33.6
18041,10.4,12.2,31.4,33.6
18043,10.1,10.2,31.4,33.6
18045,10.3,13.9,31.4,33.6
18047,10.4,11.0,31.4,33.6
18049,10.7,11.4,31.4,33.6
