FIPS,MEDHHINC15,POVRATE15
17005,50206.0,14.8
17007,62382.0,10.3
17009,53516.0,16.7
17011,51275.0,12.6
17013,51109.0,11.6
17015,50432.0,10.7
17017,46647.0,12.2
17019,50813.0,20.1
17021,49041.0,12.7
17023,50700.0,13.8
17025,43577.0,14.5
17027,64030.0,8.5
17029,42613.0,21.8
17031,56841.0,16.2
17033,49856.0,13.4
17035,51505.0,12.0
17037,56874.0,16.2
17039,54796.0,11.6
17041,53213.0,10.2
17043,81616.0,7.1
17045,50306.0,13.9
17047,48329.0,11.3
17049,53077.0,9.8
17051,41838.0,18.5
17053,53151.0,11.3
17055,43428.0,18.7
17057,44649.0,14.9
17059,40817.0,17.9
17061,43943.0,16.6
17063,71928.0,7.7
17065,45926.0,13.0
17067,48213.0,12.7
17069,39128.0,20.6
17071,47354.0,11.5
17073,58983.0,10.7
17075,49836.0,13.3
17077,36613.0,23.5
17079,52608.0,12.0
17081,46460.0,16.7
17083,53864.0,11.4
17085,51201.0,9.4
17087,46838.0,14.3
17089,70502.0,10.8
17091,53227.0,15.2
17093,88773.0,4.8
