,FIPS,MEDHHINC15,POVRATE15,PERPOV10,CHILDPOVRATE15,PERCHLDPOV10,METRO13
1912,37045,40237.0,19.8,0,29.4,0,0
1913,37047,34478.0,24.0,1,34.1,1,0
1914,37049,47805.0,15.0,0,24.2,0,1
1915,37051,42380.0,18.8,0,27.6,0,1
1916,37053,66426.0,10.4,0,17.0,0,1
1917,37055,53585.0,10.3,0,17.8,0,0
1918,37057,46400.0,14.1,0,21.3,0,1
1919,37059,52525.0,12.3,0,18.4,0,1
1920,37061,38397.0,24.9,0,34.1,1,0
1921,37063,53875.0,17.1,0,26.0,0,1
1922,37065,32529.0,27.8,0,42.6,1,1
1923,37067,47346.0,18.1,0,28.5,0,1
1924,37069,48009.0,16.0,0,22.5,0,1
1925,37071,45031.0,17.3,0,25.0,0,1
1926,37073,46387.0,16.7,0,23.5,0,1
1927,37075,33827.0,21.0,0,32.6,0,0
1928,37077,50314.0,16.0,0,21.8,0,0
1929,37079,35060.0,25.4,0,34.5,1,0
1930,37081,48283.0,15.7,0,23.5,0,1
1931,37083,31952.0,27.9,1,39.1,1,0
1932,37085,48301.0,17.7,0,23.8,0,0
1933,37087,43573.0,17.6,0,27.3,0,1
1934,37089,47280.0,13.1,0,21.1,0,1
1935,37091,34453.0,26.9,0,37.6,1,0
1936,37093,42819.0,19.9,0,28.5,1,1
1937,37095,37074.0,23.0,0,30.7,0,0
1938,37097,55848.0,14.2,0,19.3,0,1
1939,37099,41537.0,20.9,0,27.3,0,0
1940,37101,52681.0,13.0,0,18.7,0,1
1941,37103,39688.0,21.4,0,36.5,0,1
1942,37105,44294.0,17.1,0,25.8,0,0
1943,37107,37085.0,22.7,0,36.9,1,0
1944,37109,49343.0,13.4,0,20.4,0,1
1945,37111,37430.0,18.8,0,26.8,0,0
1946,37113,41395.0,16.9,0,29.4,0,0
1947,37115,37899.0,20.9,0,29.1,0,1
1948,37117,36543.0,22.5,1,36.3,1,0
1949,37119,57029.0,14.3,0,19.1,0,1
1950,37121,39955.0,16.7,0,27.5,0,0
1951,37123,39096.0,19.9,0,31.3,0,0
1952,37125,52139.0,13.2,0,21.1,0,0
1953,37127,43450.0,18.1,0,25.9,0,1
1954,37129,52456.0,17.3,0,22.1,0,1
1955,37131,33301.0,26.8,1,45.3,1,0
1956,37133,46144.0,15.3,0,21.5,0,1
1957,37135,61570.0,14.3,0,13.1,0,1
