,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS12,PCT_OBESE_ADULTS17,PCT_HSPA17,RECFACPTH11,RECFACPTH16
239,7.6,8.0,25.0,25.1,27.5,0.0335302,0.0303796
240,6.8,10.1,25.0,25.1,27.5,0.109425153,0.092959265
241,7.1,7.6,25.0,25.1,27.5,0.095067329,0.108095914
242,6.7,6.9,25.0,25.1,27.5,0.084124266,0.083349154
243,6.2,7.6,25.0,25.1,27.5,0.027582,0.0532021
244,6.5,7.2,20.5,22.6,27.400000000000006,0.0509477,0.0623247
245,5.6,6.7,20.5,22.6,27.400000000000006,0.18613886,0.182304327
246,5.9,6.3,20.5,22.6,27.400000000000006,0.104281526,0.136588644
247,5.4,5.9,20.5,22.6,27.400000000000006,0.083236224,0.155811779
248,8.2,7.6,20.5,22.6,27.400000000000006,0.0,0.0
249,5.6,7.0,20.5,22.6,27.400000000000006,0.0,0.0
250,3.5,4.1,20.5,22.6,27.400000000000006,0.186344911,0.217951073
251,4.5,5.5,20.5,22.6,27.400000000000006,0.121855688,0.16539115
252,5.0,6.4,20.5,22.6,27.400000000000006,0.332981852,0.209621633
253,6.1,6.5,20.5,22.6,27.400000000000006,0.0,0.0
254,5.4,7.9,20.5,22.6,27.400000000000006,0.111086425,0.106826194
255,6.2,6.0,20.5,22.6,27.400000000000006,0.0,0.0
256,7.3,8.3,20.5,22.6,27.400000000000006,0.0,0.0
257,4.7,6.0,20.5,22.6,27.400000000000006,0.0,0.0
258,6.4,6.8,20.5,22.6,27.400000000000006,0.0,0.0
259,6.7,7.6,20.5,22.6,27.400000000000006,0.0329251,0.0
260,5.4,6.0,20.5,22.6,27.400000000000006,0.124322684,0.184231775
261,5.7,7.5,20.5,22.6,27.400000000000006,0.0,0.0
262,3.4,5.3,20.5,22.6,27.400000000000006,0.119711325,0.155619702
263,3.0,3.3,20.5,22.6,27.400000000000006,0.173437139,0.183945258
264,4.7,5.2,20.5,22.6,27.400000000000006,0.0,0.0
265,5.5,7.0,20.5,22.6,27.400000000000006,0.087967879,0.091742318
266,7.0,8.1,20.5,22.6,27.400000000000006,0.105674733,0.063957703
267,4.6,4.7,20.5,22.6,27.400000000000006,0.089343149,0.067904797
268,4.9,6.3,20.5,22.6,27.400000000000006,0.0,0.0
269,4.7,5.6,20.5,22.6,27.400000000000006,0.137513751,0.198294666
270,3.6,4.6,20.5,22.6,27.400000000000006,0.259000259,0.121278273
271,6.4,6.6,20.5,22.6,27.400000000000006,0.0,0.0
272,6.5,7.6,20.5,22.6,27.400000000000006,0.0,0.151929505
