,FFRPTH11,FFRPTH16,FSRPTH11,FSRPTH16,PC_FFRSALES07,PC_FFRSALES12,PC_FSRSALES07,PC_FSRSALES12
86,0.0,0.0,0.0,0.0,582.715509816057,511.4807882164624,688.084194139077,724.8088817442527
87,0.0,0.0,0.0,0.0,582.715509816057,511.4807882164624,688.084194139077,724.8088817442527
88,0.337533753,0.45620438,0.900090009,0.798357664,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
89,0.0,0.0,0.0,0.0,582.715509816057,511.4807882164624,688.084194139077,724.8088817442527
90,0.699398517,0.438596491,1.398797035,0.877192982,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
91,0.821186615,0.749464668,1.539724902,1.498929336,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
92,0.0,0.0,0.0,0.0,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
93,0.0,0.0,0.0,0.0,582.715509816057,511.4807882164624,688.084194139077,724.8088817442527
94,0.0,0.0,0.0,0.0,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
95,0.0,0.0,0.532765051,0.36954915,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
96,0.221671123,0.168130806,0.193962233,0.238185308,760.5004607619491,577.718809326425,758.6283717093722,623.5880148657892
97,0.518984295,0.462685972,0.684457549,0.678074269,760.5004607619491,577.718809326425,758.6283717093722,623.5880148657892
98,0.916672256,0.913770087,1.102987755,1.206462068,760.5004607619491,577.718809326425,758.6283717093722,623.5880148657892
99,0.617723035,0.600409029,0.935943993,0.994427454,760.5004607619491,577.718809326425,758.6283717093722,623.5880148657892
100,0.53873505,0.397172134,0.457924793,0.423650277,760.5004607619491,577.718809326425,758.6283717093722,623.5880148657892
101,0.116699732,0.311753092,0.70019839,0.72742388,760.5004607619491,577.718809326425,758.6283717093722,623.5880148657892
102,0.777378292,0.779613117,1.263239724,1.413048775,760.5004607619491,577.718809326425,758.6283717093722,623.5880148657892
103,0.685079127,0.721645077,0.583002078,0.589363164,760.5004607619491,577.718809326425,758.6283717093722,623.5880148657892
104,0.547518164,0.594006378,0.64123749,0.613481997,760.5004607619491,577.718809326425,758.6283717093722,623.5880148657892
105,0.539444558,0.572367571,0.678956082,0.692380126,760.5004607619491,577.718809326425,758.6283717093722,623.5880148657892
