,FOODINSEC_12_14,FOODINSEC_15_17,VLFOODSEC_12_14,VLFOODSEC_15_17
385,13.8,11.9,5.5,4.2
386,13.8,11.9,5.5,4.2
387,15.7,13.0,6.2,4.4
388,15.7,13.0,6.2,4.4
389,15.7,13.0,6.2,4.4
390,15.7,13.0,6.2,4.4
391,15.7,13.0,6.2,4.4
392,15.7,13.0,6.2,4.4
393,15.7,13.0,6.2,4.4
394,15.7,13.0,6.2,4.4
395,15.7,13.0,6.2,4.4
396,15.7,13.0,6.2,4.4
397,15.7,13.0,6.2,4.4
398,15.7,13.0,6.2,4.4
399,15.7,13.0,6.2,4.4
400,15.7,13.0,6.2,4.4
401,15.7,13.0,6.2,4.4
402,15.7,13.0,6.2,4.4
403,15.7,13.0,6.2,4.4
404,15.7,13.0,6.2,4.4
405,15.7,13.0,6.2,4.4
406,15.7,13.0,6.2,4.4
407,15.7,13.0,6.2,4.4
408,15.7,13.0,6.2,4.4
409,15.7,13.0,6.2,4.4
410,15.7,13.0,6.2,4.4
411,15.7,13.0,6.2,4.4
412,15.7,13.0,6.2,4.4
413,15.7,13.0,6.2,4.4
414,15.7,13.0,6.2,4.4
415,15.7,13.0,6.2,4.4
416,15.7,13.0,6.2,4.4
417,15.7,13.0,6.2,4.4
418,15.7,13.0,6.2,4.4
419,15.7,13.0,6.2,4.4
420,15.7,13.0,6.2,4.4
421,15.7,13.0,6.2,4.4
422,15.7,13.0,6.2,4.4
423,15.7,13.0,6.2,4.4
424,15.7,13.0,6.2,4.4
425,15.7,13.0,6.2,4.4
426,15.7,13.0,6.2,4.4
427,15.7,13.0,6.2,4.4
428,15.7,13.0,6.2,4.4
429,15.7,13.0,6.2,4.4
430,15.7,13.0,6.2,4.4
431,15.7,13.0,6.2,4.4
432,15.7,13.0,6.2,4.4
433,15.7,13.0,6.2,4.4
434,15.7,13.0,6.2,4.4
435,15.7,13.0,6.2,4.4
436,15.7,13.0,6.2,4.4
437,15.7,13.0,6.2,4.4
438,15.7,13.0,6.2,4.4
439,15.7,13.0,6.2,4.4
440,15.7,13.0,6.2,4.4
441,15.7,13.0,6.2,4.4
442,15.7,13.0,6.2,4.4
443,15.7,13.0,6.2,4.4
444,15.7,13.0,6.2,4.4
445,15.7,13.0,6.2,4.4
446,15.7,13.0,6.2,4.4
447,15.7,13.0,6.2,4.4
448,15.7,13.0,6.2,4.4
449,15.7,13.0,6.2,4.4
450,15.7,13.0,6.2,4.4
451,15.7,13.0,6.2,4.4
452,15.7,13.0,6.2,4.4
453,15.7,13.0,6.2,4.4
454,15.7,13.0,6.2,4.4
455,15.7,13.0,6.2,4.4
456,15.7,13.0,6.2,4.4
457,15.7,13.0,6.2,4.4
458,15.7,13.0,6.2,4.4
459,15.7,13.0,6.2,4.4
460,15.7,13.0,6.2,4.4
461,15.7,13.0,6.2,4.4
462,15.7,13.0,6.2,4.4
463,15.7,13.0,6.2,4.4
464,15.7,13.0,6.2,4.4
465,15.7,13.0,6.2,4.4
466,15.7,13.0,6.2,4.4
467,15.7,13.0,6.2,4.4
468,15.7,13.0,6.2,4.4
469,15.7,13.0,6.2,4.4
470,15.7,13.0,6.2,4.4
471,15.7,13.0,6.2,4.4
472,15.7,13.0,6.2,4.4
473,15.7,13.0,6.2,4.4
474,15.7,13.0,6.2,4.4
475,15.7,13.0,6.2,4.4
476,15.7,13.0,6.2,4.4
477,15.7,13.0,6.2,4.4
478,15.7,13.0,6.2,4.4
479,15.7,13.0,6.2,4.4
480,15.7,13.0,6.2,4.4
481,15.7,13.0,6.2,4.4
482,15.7,13.0,6.2,4.4
483,15.7,13.0,6.2,4.4
484,15.7,13.0,6.2,4.4
485,15.7,13.0,6.2,4.4
486,15.7,13.0,6.2,4.4
487,15.7,13.0,6.2,4.4
488,15.7,13.0,6.2,4.4
489,15.7,13.0,6.2,4.4
490,15.7,13.0,6.2,4.4
491,15.7,13.0,6.2,4.4
492,15.7,13.0,6.2,4.4
493,15.7,13.0,6.2,4.4
494,15.7,13.0,6.2,4.4
495,15.7,13.0,6.2,4.4
496,15.7,13.0,6.2,4.4
497,15.7,13.0,6.2,4.4
498,15.7,13.0,6.2,4.4
499,15.7,13.0,6.2,4.4
500,15.7,13.0,6.2,4.4
501,15.7,13.0,6.2,4.4
502,15.7,13.0,6.2,4.4
503,15.7,13.0,6.2,4.4
504,15.7,13.0,6.2,4.4
505,15.7,13.0,6.2,4.4
506,15.7,13.0,6.2,4.4
507,15.7,13.0,6.2,4.4
508,15.7,13.0,6.2,4.4
509,15.7,13.0,6.2,4.4
510,15.7,13.0,6.2,4.4
511,15.7,13.0,6.2,4.4
512,15.7,13.0,6.2,4.4
513,15.7,13.0,6.2,4.4
514,15.7,13.0,6.2,4.4
515,15.7,13.0,6.2,4.4
516,15.7,13.0,6.2,4.4
517,15.7,13.0,6.2,4.4
518,15.7,13.0,6.2,4.4
519,15.7,13.0,6.2,4.4
520,15.7,13.0,6.2,4.4
521,15.7,13.0,6.2,4.4
522,15.7,13.0,6.2,4.4
523,15.7,13.0,6.2,4.4
524,15.7,13.0,6.2,4.4
525,15.7,13.0,6.2,4.4
526,15.7,13.0,6.2,4.4
527,15.7,13.0,6.2,4.4
528,15.7,13.0,6.2,4.4
529,15.7,13.0,6.2,4.4
530,15.7,13.0,6.2,4.4
531,15.7,13.0,6.2,4.4
532,15.7,13.0,6.2,4.4
533,15.7,13.0,6.2,4.4
534,15.7,13.0,6.2,4.4
535,15.7,13.0,6.2,4.4
536,15.7,13.0,6.2,4.4
537,15.7,13.0,6.2,4.4
538,15.7,13.0,6.2,4.4
539,15.7,13.0,6.2,4.4
540,15.7,13.0,6.2,4.4
541,15.7,13.0,6.2,4.4
542,15.7,13.0,6.2,4.4
543,15.7,13.0,6.2,4.4
544,15.7,13.0,6.2,4.4
545,15.7,13.0,6.2,4.4
546,12.3,7.4,4.0,2.9
547,12.3,7.4,4.0,2.9
548,12.3,7.4,4.0,2.9
549,12.3,7.4,4.0,2.9
550,12.3,7.4,4.0,2.9
551,11.4,10.5,4.6,4.3
552,11.4,10.5,4.6,4.3
553,11.4,10.5,4.6,4.3
554,11.4,10.5,4.6,4.3
555,11.4,10.5,4.6,4.3
556,11.4,10.5,4.6,4.3
557,11.4,10.5,4.6,4.3
558,11.4,10.5,4.6,4.3
559,11.4,10.5,4.6,4.3
560,11.4,10.5,4.6,4.3
561,11.4,10.5,4.6,4.3
562,11.4,10.5,4.6,4.3
563,11.4,10.5,4.6,4.3
564,11.4,10.5,4.6,4.3
565,11.4,10.5,4.6,4.3
566,11.4,10.5,4.6,4.3
567,11.4,10.5,4.6,4.3
568,11.4,10.5,4.6,4.3
569,11.4,10.5,4.6,4.3
570,11.4,10.5,4.6,4.3
571,11.4,10.5,4.6,4.3
572,11.4,10.5,4.6,4.3
573,11.4,10.5,4.6,4.3
574,11.4,10.5,4.6,4.3
575,11.4,10.5,4.6,4.3
576,11.4,10.5,4.6,4.3
577,11.4,10.5,4.6,4.3
578,11.4,10.5,4.6,4.3
579,11.4,10.5,4.6,4.3
580,11.4,10.5,4.6,4.3
581,11.4,10.5,4.6,4.3
582,11.4,10.5,4.6,4.3
583,11.4,10.5,4.6,4.3
584,11.4,10.5,4.6,4.3
585,11.4,10.5,4.6,4.3
586,11.4,10.5,4.6,4.3
587,11.4,10.5,4.6,4.3
588,11.4,10.5,4.6,4.3
589,11.4,10.5,4.6,4.3
590,11.4,10.5,4.6,4.3
591,11.4,10.5,4.6,4.3
592,11.4,10.5,4.6,4.3
593,11.4,10.5,4.6,4.3
594,11.4,10.5,4.6,4.3
595,14.1,11.0,5.3,4.0
596,14.1,11.0,5.3,4.0
597,14.1,11.0,5.3,4.0
598,14.1,11.0,5.3,4.0
599,14.1,11.0,5.3,4.0
600,14.1,11.0,5.3,4.0
601,14.1,11.0,5.3,4.0
602,14.1,11.0,5.3,4.0
603,14.1,11.0,5.3,4.0
604,14.1,11.0,5.3,4.0
605,14.1,11.0,5.3,4.0
606,14.1,11.0,5.3,4.0
607,14.1,11.0,5.3,4.0
608,14.1,11.0,5.3,4.0
609,14.1,11.0,5.3,4.0
610,14.1,11.0,5.3,4.0
611,14.1,11.0,5.3,4.0
612,14.1,11.0,5.3,4.0
613,14.1,11.0,5.3,4.0
614,14.1,11.0,5.3,4.0
615,14.1,11.0,5.3,4.0
616,14.1,11.0,5.3,4.0
617,14.1,11.0,5.3,4.0
618,14.1,11.0,5.3,4.0
619,14.1,11.0,5.3,4.0
620,14.1,11.0,5.3,4.0
621,14.1,11.0,5.3,4.0
622,14.1,11.0,5.3,4.0
623,14.1,11.0,5.3,4.0
624,14.1,11.0,5.3,4.0
625,14.1,11.0,5.3,4.0
626,14.1,11.0,5.3,4.0
627,14.1,11.0,5.3,4.0
628,14.1,11.0,5.3,4.0
629,14.1,11.0,5.3,4.0
630,14.1,11.0,5.3,4.0
631,14.1,11.0,5.3,4.0
